app_slug,tier,scope,module_key,n,r0,r1,r2,r3,top_share,read_nothing,best_rank,ties,pass,fails
corrosion,advanced,module,m02-what-the-module-does-not-have,15,4,4,3,4,0.2667,0.3333,0,4,True,
corrosion,advanced,module,m03-the-label-and-the-band,15,3,5,3,4,0.3333,0.3333,1,2,True,
corrosion,advanced,module,m04-the-summary-that-was-missing,15,3,4,4,4,0.2667,0.2833,1,3,True,
corrosion,advanced,module,m05-inversion-against-a-limit,15,3,4,4,4,0.2667,0.2667,1,1,True,
corrosion,advanced,module,m06-what-this-engine-used-to-do,15,3,4,4,4,0.2667,0.2667,1,2,True,
corrosion,beginner,final,,42,11,12,9,10,0.2857,0.2857,1,4,True,
corrosion,beginner,module,m01-what-this-screen-answers-and-what-it-withdrew,15,4,3,5,3,0.3333,0.3333,2,1,True,
corrosion,beginner,module,m02-what-is-in-the-stream,15,4,4,3,4,0.2667,0.2667,0,0,True,
corrosion,beginner,module,m03-two-resistances-in-series,15,4,4,3,4,0.2667,0.2667,0,2,True,
corrosion,beginner,module,m04-the-protective-film,15,4,3,4,4,0.2667,0.2667,0,0,True,
corrosion,beginner,module,m05-ph-and-the-water,15,4,4,3,4,0.2667,0.2667,0,0,True,
corrosion,beginner,module,m06-one-screen-end-to-end,15,4,4,3,4,0.2667,0.2667,0,2,True,
corrosion,intermediate,final,,42,12,10,10,10,0.2857,0.2917,0,14,True,
corrosion,intermediate,module,m01-the-wetting-regime,15,3,4,4,4,0.2667,0.2667,1,3,True,
corrosion,intermediate,module,m02-efficiency-is-not-protection,15,4,4,4,3,0.2667,0.2667,0,2,True,
corrosion,intermediate,module,m03-wall-shear,15,4,4,4,3,0.2667,0.2667,0,2,True,
corrosion,intermediate,module,m04-the-shear-acts-on-the-rate,15,4,4,4,3,0.2667,0.2667,0,1,True,
corrosion,intermediate,module,m05-the-allowance,15,4,4,4,3,0.2667,0.2667,0,3,True,
corrosion,intermediate,module,m06-which-film-governs,15,4,4,4,3,0.2667,0.2667,0,2,True,
crude,advanced,final,,42,12,12,10,8,0.2857,0.2857,0,11,True,
crude,advanced,module,m01-what-a-linear-programme-is,15,4,4,4,3,0.2667,0.2667,0,2,True,
crude,advanced,module,m02-blending-rules-as-rows,15,2,5,4,4,0.3333,0.3333,2,6,True,
crude,advanced,module,m03-binding-and-giveaway,15,4,4,4,3,0.2667,0.3056,2,3,True,
crude,advanced,module,m04-shadow-prices,15,4,3,4,4,0.2667,0.2667,2,2,True,
crude,advanced,module,m05-infeasible-refused-and-skipped,15,3,4,4,4,0.2667,0.2667,1,4,True,
crude,advanced,module,m06-the-expert-reading,15,3,5,4,3,0.3333,0.2889,1,1,True,
crude,beginner,final,,42,9,10,11,12,0.2857,0.2798,3,9,True,
crude,beginner,module,m01-what-an-assay-carries,15,2,5,4,4,0.3333,0.2889,1,5,True,
crude,beginner,module,m02-blending-on-the-right-basis,15,3,5,4,3,0.3333,0.3,1,3,True,
crude,beginner,module,m03-viscosity-through-an-index,15,4,4,3,4,0.2667,0.3167,2,6,True,
crude,beginner,module,m04-the-curve-and-its-cuts,15,2,5,4,4,0.3333,0.35,1,4,True,
crude,beginner,module,m05-will-the-blend-stay-stable,15,3,4,4,4,0.2667,0.3278,2,4,True,
crude,beginner,module,m06-the-associate-reading,15,4,4,4,3,0.2667,0.3389,1,5,True,
crude,intermediate,final,,42,11,12,10,9,0.2857,0.3254,1,29,True,
crude,intermediate,module,m01-the-blends-own-curve,15,2,4,5,4,0.3333,0.3333,1,10,True,
crude,intermediate,module,m02-the-fifty-percent-point,15,4,4,3,4,0.2667,0.3556,3,7,True,
crude,intermediate,module,m03-cut-yields-of-the-blend,15,3,4,4,4,0.2667,0.3,1,6,True,
crude,intermediate,module,m04-netback,15,4,4,4,3,0.2667,0.3056,0,7,True,
crude,intermediate,module,m05-against-the-marker,15,4,3,4,4,0.2667,0.2722,2,4,True,
crude,intermediate,module,m06-the-professional-reading,15,4,4,3,4,0.2667,0.3056,1,5,True,
dca,advanced,final,,42,8,16,9,9,0.381,0.377,1,4,True,
dca,advanced,module,m01-literature-anchors,15,2,5,5,3,0.3333,0.3333,1,2,True,
dca,advanced,module,m02-the-b-lever,15,2,5,6,2,0.4,0.4,2,2,True,
dca,advanced,module,m03-confidence-and-scatter,15,2,5,5,3,0.3333,0.3667,1,3,True,
dca,advanced,module,m04-risked-reserves,15,3,3,5,4,0.3333,0.3,2,3,True,
dca,advanced,module,m05-declines-after-the-flood,15,2,5,6,2,0.4,0.4,2,1,True,
dca,advanced,module,m06-the-expert-booking,15,2,5,5,3,0.3333,0.3333,2,1,True,
dca,beginner,final,,42,12,9,10,11,0.2857,0.3016,3,16,True,
dca,beginner,module,m01-declines-and-the-field,15,3,6,4,2,0.4,0.3667,1,3,True,
dca,beginner,module,m02-the-three-models,15,4,2,6,3,0.4,0.3333,3,4,True,
dca,beginner,module,m03-cumulative-volumes,15,3,3,6,3,0.4,0.3556,2,7,True,
dca,beginner,module,m04-fitting-the-data,15,3,3,5,4,0.3333,0.3333,2,4,True,
dca,beginner,module,m05-eur-and-the-limit,15,4,5,3,3,0.3333,0.3333,1,1,True,
dca,beginner,module,m06-the-associate-booking,15,3,4,4,4,0.2667,0.2667,1,2,True,
dca,intermediate,final,,42,6,12,16,8,0.381,0.4048,2,5,True,
dca,intermediate,module,m01-the-b-problem,15,2,4,5,4,0.3333,0.3333,2,0,True,
dca,intermediate,module,m02-fit-windows,15,4,3,4,4,0.2667,0.2667,0,1,True,
dca,intermediate,module,m03-forecast-mechanics,15,3,5,4,3,0.3333,0.3333,1,0,True,
dca,intermediate,module,m04-type-curves,15,3,5,4,3,0.3333,0.3333,1,2,True,
dca,intermediate,module,m05-portfolio-rollups,15,2,5,6,2,0.4,0.4333,2,3,True,
dca,intermediate,module,m06-the-professional-booking,15,2,4,6,3,0.4,0.4,2,2,True,
decision,advanced,final,,42,10,11,10,11,0.2619,0.2619,1,5,True,
decision,advanced,module,m01-inputs-that-contradict-each-other,15,4,4,3,4,0.2667,0.3,3,3,True,
decision,advanced,module,m02-bigger-lotteries,15,4,4,3,4,0.2667,0.3,1,1,True,
decision,advanced,module,m03-the-decision-brief,15,3,4,4,4,0.2667,0.2667,1,6,True,
